Internship_ID,Company_Name,Sector,Smart_City_Assigned,Fallback_City,Domain,Required_Skills,Required_Language,Location,Capacity,Reserved_Seats,Rural_Urban_Distribution,Duration,Stipend,Mode,Type,Minimum_Qualification,Min_CGPA,Eligibility_Stream,Application_Deadline
I0001,ISRO,Research,Surat,Vadodara,Water Supply,"SQL, Cybersecurity, Finance, App Dev",Regional,Surat,57,"{'GEN': 28, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 39, 'Rural': 18}",4 months,10000,Hybrid,Government,PhD,6.6,"Management, Commerce",2025-10-30
I0002,Maruti Suzuki,Manufacturing,Lucknow,Kanpur,Healthcare,AI,Regional,Lucknow,52,"{'GEN': 26, 'OBC': 14, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 36, 'Rural': 16}",6 months,10000,Offline,Research,PG,7.7,"Management, Commerce",2025-10-20
I0003,DRDO,Research,Bhopal,Indore,Mobility,"Data Science, Cybersecurity, Cloud, AI",Hindi,Bhopal,37,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 25, 'Rural': 12}",3 months,8000,Online,Government,PhD,6.5,"Science, Engineering",2025-11-15
I0004,DRDO,Research,Kolkata,Durgapur,Healthcare,"Cybersecurity, Cloud, C++, ML",Regional,Kolkata,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",4 months,15000,Online,Research,UG,6.1,"Management, Commerce",2025-10-07
I0005,ICICI Bank,Finance,Surat,Vadodara,Waste Management,"ML, SQL, Cybersecurity",English,Surat,37,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 25, 'Rural': 12}",6 months,10000,Offline,Corporate,PhD,6.3,"Commerce, Management",2025-11-19
I0006,AIIMS,Healthcare,Lucknow,Kanpur,Healthcare,Finance,English,Lucknow,29,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 20, 'Rural': 9}",2 months,15000,Online,NGO,PG,7.2,"Arts, Management",2025-11-02
I0007,ICICI Bank,Finance,Delhi,Gurugram,Waste Management,"Cybersecurity, Java, C++, App Dev",Regional,Delhi,26,"{'GEN': 13, 'OBC': 7, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 18, 'Rural': 8}",2 months,8000,Online,Government,PhD,8.0,"Science, Engineering",2025-10-12
I0008,IBM India,IT,Guwahati,Kolkata,Water Supply,AI,Hindi,Guwahati,60,"{'GEN': 30, 'OBC': 16, 'SC': 9, 'ST': 4, 'EWS': 1}","{'Urban': 42, 'Rural': 18}",2 months,8000,Offline,Corporate,PhD,6.4,"Commerce, Management",2025-11-09
I0009,ISRO,Research,Ahmedabad,Surat,Mobility,Web Dev,Regional,Ahmedabad,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",4 months,15000,Online,Corporate,PhD,6.7,"Science, Engineering",2025-11-03
I0010,State Bank of India,Finance,Bhopal,Indore,Water Supply,IoT,Regional,Bhopal,30,"{'GEN': 15, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 21, 'Rural': 9}",6 months,10000,Online,NGO,PhD,8.4,"Science, Engineering",2025-11-02
